Name,Street Address,City,State,Zip Code,Phone,Website,Rating,Reviews,Email from Web,Note
"Dr. Kavitha Manickam, DDS",1229 N Main St, Salinas,CA,93906,+1 831-442-8000,http://www.westerndental.com/,,,,website cannot be reached
Dr. Mojdeh Faraz,546 Abbott St, Salinas,CA,93901,+1 831-424-7393,http://salinaspediatricdentist.com/,,,,no email found of Dr. Faraz
"Dr. Viet V. Dang, DDS",1558 Constitution Blvd, Salinas,CA,93905,+1 831-240-4648,http://www.creekbridgedentalsalinasca.com/,,,,
Frank C Joyce DDS,420 E Romie Ln, Salinas,CA,93901,+1 831-422-5942,http://www.frankjoycedental.com/,3,2,,no email found
Goetze Robert J DDS,130 E Romie Ln a, Salinas,CA,93901,+1 831-443-1151,http://dentistofsalinas.com/,3,1,drgoezteteam@aol.com,
Greenfield & Salinas Dental Group,608 E Boronda Rd, Salinas,CA,93906,+1 831-443-3524,http://www.dentist4myfamily.com/,5,1,e.mireles@dentist4myfamily.com,
Harden Family Dentistry,1760 N Main St, Salinas,CA,93906,+1 831-442-2610,http://www.hardendentist.com/,,,hardendentist@yahoo.com,
James D. Kim DDS,1970 N Main St, Salinas,CA,93906,+1 831-424-4230,http://www.salinassmiles.com/,4.7,49,contact@salinassmiles.com,no email found of Dr. Kim
"James S. Oh, DDS",21 Upper Ragsdale Dr #160, Monterey,CA,93940,+1 831-655-2222,http://www.montereydentistry.net/,4.8,89,,no email found of Dr. OH
"Jennifer L. Moran, DDS",130 E Romie Ln, Salinas,CA,93901,+1 831-424-0303,http://www.salinasfamilydentist.com/,5,3,,website cannot be reached
Jennifer Lo DDS,1045 Los Palos Dr, Salinas,CA,93901,+1 831-272-2688,http://littlebristlespediatricdentistry.com/,,,info@littlebristlespediatricdentistry.com,no email found of Dr. Lo
Joe Mitchell Orthodontics,780 E Romie Ln G, Salinas,CA,93901,+1 831-422-7424,http://www.joemitchellorthodontics.com/,5,1,kim@joemitchellorthodontics.com,
Juan C. Valencia D.D.S.,559 E Alisal St #101, Salinas,CA,93905,+1 831-757-1111,http://www.lapazdental.com/,5,1,lapazdental@yahoo.com,no email found
"Karla Y. Aldape, D.D.S.",258 San Jose St ste b, Salinas,CA,93901,+1 831-759-0700,http://www.draldape.com/,5,1,draldape@aldapedds.com,
Kelley William M DDS,780 E Romie Ln # F, Salinas,CA,93901,+1 831-422-5832,http://www.kelleysalinasdentistry.com/,3.5,2,drkelleydds@yahoo.com,no email of Dr. Williams
"Kevin E. Oshea, DDS",770 E Romie Ln Suite D, Salinas,CA,93901,+1 831-422-9908,http://www.periodontist4gums.com/,,,,1009 error
La Paz Dental Care,559 E Alisal St # 101, Salinas,CA,93905,+1 831-757-1111,http://lapazdental.com/template.jsp?doc=lapazdentalcare&loc=cu&wiz=0&page=Contact+Us,5,1,lapazdental@yahoo.com,
La Paz Dental Care: Dougherty Bert MD,559 E Alisal St # 101, Salinas,CA,93905,+1 831-757-1111,http://www.lapazdental.com/,,,,no email found
La Paz Dental Care: Puen Joy DDS,559 E Alisal St # 101, Salinas,CA,93905,+1 831-757-1111,http://www.lapazdental.com/,,,,no email found 
Lewis DDS & Lloyd DMD,770 E Romie Ln, Salinas,CA,93901,+1 831-757-5291,http://www.montereysalinasoralsurgery.com/,5,1,contact@montereysalinasoralsurgery.com,no email found
Little Bristles,1045 Los Palos Dr, Salinas,CA,93901,+1 831-272-2688,http://littlebristlespediatricdentistry.com/,4.9,44,info@littlebristlespediatricdentistry.com,
Marina Dunes Dental: Richard N Holm DDS,3154 De Forest Rd # B, Marina,CA,93933,+1 831-384-2562,http://www.marinadunesdental.com/,4.3,10,office@marinadunesdental.com,no email found of Dr. Holm
Mark A. Washburn DDS,601 E Romie Ln #5, Salinas,CA,93901,+1 831-758-0959,http://www.romielanedentist.com/,,,info@romielanedentist.com,no email found of Dr. Washburn
"Matthew Wetzel, DDS",1112 Pajaro St, Salinas,CA,93901,+1 831-424-2214,http://www.salinasperio.com/,5,1,contact@salinasperio.com,no email found of Dr. Wetzel
Monterey Bay Dental Society,8 Harris Ct # A2, Monterey,CA,93940,+1 831-658-0168,http://www.mbdsdentist.com/,,,mbds09@comcast.net,
"Monterey Bay Orthodontics--Garrett R. Criswell, DDS, MS",1270 S Main St, Salinas,CA,93901,+1 831-424-4470,http://www.montereyorthodontics.com/,5,4,info@montereyorthodontics.com,
Morris Paul J DDS,945 Blanco Cir, Salinas,CA,93901,+1 831-424-0641,http://www.ccpediatricdentalgroup.com/,,,Rhiannon@ccpediatricdentalgroup.com,no email found of Dr. Morris
Murillo Marielena DDS,945 Blanco Cir, Salinas,CA,93901,+1 831-424-0641,http://www.ccpediatricdentalgroup.com/,,,,no email found of Dr. Murillo
Nandavikar Dhanashri DDS,1229 N Main St, Salinas,CA,93906,+1 831-442-8000,http://www.westerndental.com/,,,,website cannot be reached
NEXT Dentistry,110 Harden Pkwy #102, Salinas,CA,93906,+1 831-449-4567,http://www.nextdentistry.com/,4.8,24,drhemingway@nextdentistry.com,
"Pacific Endodontics Salinas: Root Canal and Surgery - Dr, Eric Carl Appelin DMD",1107 Los Palos Dr, Salinas,CA,93901,+1 831-422-4750,http://www.pacificendo.com/,,,info@pacificendo.com,
Pacific Endodontics: Root Canal and Implant Center,1107 Los Palos Dr Suite 4, Salinas,CA,93901,+1 831-422-4750,http://www.pacificendo.com/,,,,
Pacific Periodontics & Dental Implant Centre,770 E Romie Ln d, Salinas,CA,93001,+1 831-422-9908,https://www.periodontist4gums.com/,,,,1009 error
Parkway Dental: Kristianto Jonathan N DDS,1556 N Main St, Salinas,CA,93906,+1 831-444-0882,http://parkwaydentalca.com/,5,1,parkwaydental@att.net,no email found of Dr. Kristiano
Pearl Dentistry,1710 N Main St, Salinas,CA,93906,+1 831-200-4000,http://pearldentistry.com/,5,3,jenna@pearldentistry.com,
Pham My P DDS,633 E Alvin Dr, Salinas,CA,93906,+1 831-443-1177,http://www.ccpediatricdentalgroup.com/,5,1,,no email found of Dr. Pham
"Philip Wolff, DDS",3154 De Forest Rd, Marina,CA,93933,+1 831-718-3198,http://www.montereypeninsulasmiles.com/,4.8,6,drphilipwolff@gmail.com,
"Prunedale Dental - Wael Alfy, DDS",17820 Moro Rd, Prunedale,CA,93907,+1 831-663-2660,http://www.prunedaledental.com/,5,6,office@prunedaledental.com,no email found of Dr. Alfy
Pua Chona DDS,1064 Pajaro St, Salinas,CA,93901,+1 831-751-6175,http://www.chonapuadds.com/,5,2,,error 1009
Rakshak Dental,1070 N Davis Rd # D, Salinas,CA,93907,+1 831-757-2222,http://drrakshak.com/,3.8,8,drrakshak@drrakshak.com,
Reddy Stephen L DDS,1974 N Main St, Salinas,CA,93906,+1 831-443-2727,http://dentalconceptsandorthodontics.com/,,,carol@dentalconceptsandorthodontics.com,no email found of Dr. Reddy
Reddy Stephen L DDS,160 Harden Pkwy # 102, Salinas,CA,93906,+1 831-443-3633,http://dentalconceptsandorthodontics.com/,,,dental@dentalconceptsandorthodontics.com,no email found of Dr. Reddy
Romie Lane Dental Group,770 E Romie Ln A-1, Salinas,CA,93901,+1 831-424-3035,http://www.romielanedental.com/,5,9,micheal@romielanedental.com,
Romie Lane Dentist,601 E Romie Ln #5, Salinas,CA,93901,+1 831-758-0959,http://www.romielanedentist.com/,,,info@romielanedentist.com,no email found of Dr. Lane
"Russell Cureton, DDS",620 E Alvin Dr E, Salinas,CA,93906,+1 831-449-8363,http://www.drcureton.com/,4.5,2,drcureton@att.net,
"Ryan T. Payne, DDS",780 E Romie Ln B, Salinas,CA,93901,+1 831-424-2986,http://www.ryantpaynedds.com/,5,2,info@ryantpaynedds.com,
Salinas & Greenfield Dental: Mireles Ernesto DDS,608 E Boronda Rd # B, Salinas,CA,93906,+1 831-443-3524,http://dentist4myfamily.com/,2.3,3,e.mireles@dentist4myfamily.com,
Salinas Dental Health,750 E Romie Ln, Salinas,CA,93901,+1 831-424-0881,http://www.salinasdentalhealth.com/,5,18,dradrr750@sbcglobal.net,
"Salinas Dental Health: Dr. Dennis R. Andresen, DDS",750 E Romie Ln, Salinas,CA,93901,+1 831-424-0881,http://www.salinasdentalhealth.com/,5,4,,no email found of Dr. Andresen
Salinas Valley Dental Care,1211 S Main St, Salinas,CA,93901,+1 831-424-1535,http://www.salinasvalleydentalcare.com/,5,49,smile@salinasvalleydentalcare.com,
Shoreline Dental,271 Reservation Rd #102, Marina,CA,93933,+1 831-384-7730,http://www.shoreline-dental.com/,4.3,3,,1009 error
"Soraya S. Cameron, DDS",A 770 E Romie Ln #1, Salinas,CA,93901,+1 831-424-3035,http://www.romielanedental.com/,4.5,6,,no email found of Dr. Cameron
TLC Dentistry,750 E Romie Ln Suite C, Salinas,CA,93901,+1 831-757-1038,https://www.tlcdentistry.com/,4.9,52,george@tlcdentistry.com,
True Bite Oral Surgery and Implant Center,546 Abbott St, Salinas,CA,93901,+1 831-424-7393,http://www.herreraoms.com/,4.8,19,,
Verdugo John D DDS,160 Harden Pkwy # 102, Salinas,CA,93906,+1 831-443-3633,http://dentalconceptsandorthodontics.com/,,,,no email found of Dr. Verdugo
Western Dental,1229 N Main St, Salinas,CA,93906,+1 831-998-9433,http://www.westerndental.com/,,,,website cannot be reached
Western Dental & Orthodontics,921 S Main St, Salinas,CA,93901,+1 831-998-9427,http://www.westerndental.com/Salinas-CA-93901,3.4,130,,website cannot be reached
Western Dental & Orthodontics,1229 N Main St, Salinas,CA,93906,+1 831-998-9433,http://www.westerndental.com/Salinas-CA-93906,2.3,43,,website cannot be reached
Western Dental & Orthodontics,1293 N Davis Rd, Salinas,CA,93907,+1 831-998-9423,http://www.westerndental.com/Salinas-CA-93907,4.3,21,,website cannot be reached
Western Dental Center: Sanchez Jr Manuel G DDS,1229 N Main St, Salinas,CA,93906,+1 831-442-8000,https://www.westerndental.com/en-US/dentists/california/salinas/1229-n-main-st/,,,,website cannot be reached
Western Dental Center: Soltani Kevin DDS,1229 N Main St, Salinas,CA,93906,+1 831-442-8000,https://www.westerndental.com/,3,1,,website cannot be reached
Zernicke Robert DDS,160 Harden Pkwy # 102, Salinas,CA,93906,+1 831-443-3633,http://dentalconceptsandorthodontics.com/,,,,no email found of Dr.Zenicke
Zernicke Robert P DDS,271 Reservation Rd # 102, Marina,CA,93933,+1 831-443-3633,http://dentalconceptsandorthodontics.com/dr-robert-p-zernicke-d-d-s/,,,,no email of Dr. Zenicke
