Email,"First Name","Last Name","Phone Number",Status,"Contact Record Created","IP Address","User Agent",Organization,*domain,*Message,*Sector,*Prod/Service,"*Phone 2",*Fax,*Employees,*Province,*Area,*Town,*Suburb,*Website,*Designation1,*Designation2,*Cell,"*Authoriser E-mail","*Authoriser Full Name","*Authoriser Tel","*Authoriser Cell","*Email 2",*Salut,"*.za.com address","*Premium Address 1","*Premium Address 2","*Premium Address 3","*Opened Campaign Contact Score","*Replied Contact Score","*Forward Email Contact Score","*Clicked Link Contact Score","*Submit Web Form Contact Score","*Visited Web Site Contact Score",Tags
adhunter@iafrica.com,,,(011)-782-0651,,"2018-01-18 13:50:09",127.0.0.1,,"ADRIAN S PHOTOGRAPHY",http://photographer.za.com/,,"TRANSPORT & DISTRIBUTION","PHOTOGRAPHERS AND VIDEO RECORDINGS,PORTRAITS",,(086)-672-8798,"51 - 200",GT,"CENTRAL JOHANNESBURG",RANDBURG,LINDEN,www.mysite.mweb.co.za,,,(083)-408-6484,,,,,,,,,,,0,0,0,0,0,0,Photographer
adiatskittee@insbestusa.com,MeggSlali,,81392426287,,"2018-02-21 01:35:30",0.0.0.0,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",,register.za.com,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,"HOT PROSPECT"
adley@pixie.co.za,Hilda,,(044)-272-4533,,"2018-03-05 08:05:53",0.0.0.0,,"ADLEY HOUSE GUEST HOUSE",guesthouse.za.com,,HOSPITALITY,"LUXURY GUEST HOUSES,GUESTHOUSES,4 STARS,GUESTHOUSE",,"044 272 5691","11 - 50",WC,"GARDEN ROUTE",OUDTSHOORN,OUDTSHOORN,www.adleyhouse.co.za,,,,,,,,,,,,,,4,0,0,0,0,0,"Not responding to e-mails,Lodge Leads"
admin.copyshop@telkomsa.net,,,(011)-894-2646,,"2018-02-06 10:36:33",0.0.0.0,,"COPY SHOP",florist.za.com,,RETAIL,"FLORISTS,FLOWERS,PRINTERS,FLORISTS AND FLOWERS",,,"11 - 50",GT,"EAST RAND",BOKSBURG,BARDENE,,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
admin@accoutingsa.co.za,,,(086)-100-0874,,"2018-02-19 13:56:33",127.0.0.1,,"ACCOUNTING SA TRUST",,,"PROFESSIONAL SERVICES","BUSINESS,BUSINESS SKILLS,ACCOUNT MANAGERS,INVESTMENT",,,"11 - 50",GT,,BENONI,RYNFIELD,,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
admin@apolloair.co.za,Carlo,"Van Wyk",(021)-905-7979,,"2018-01-18 09:51:15",0.0.0.0,,"Apollo Air Cc",aircon.za.com,,"GENERAL SERVICES","INDUSTRIAL AIRCON CONTRACTORS",,(021)-905-7976,"51 - 200",WC,"EAST CAPE TOWN",BLACKHEATH,BLACKHEATH,,MD/CEOS,OWNER,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
admin@chauke.co.za,,,(012)-347-8560,,"2018-02-19 13:56:35",127.0.0.1,,"CHAUKE QUANTITY SURVEYORS",,,"PROFESSIONAL SERVICES","ECONOMIC,PROJECTS,QUANTITY,CONSTRUCTION MANAGEMENT",,,"11 - 50",GT,,PRETORIA,ERASMUSRAND,www.chauke.co.za,,,(079)-491-8246,,,,,,,,,,,0,0,0,0,0,0,Investment
admin@eliteair.co.za,,,(031)-573-1667,,"2018-01-18 09:51:10",0.0.0.0,,"Elite Airconditioning",aircon.za.com,,"GENERAL SERVICES","AIR CON INSTALLATION,AIR CONDITIONING EQPT AND SYSTEM",,,"11 - 50",KZN,"CENTRAL DURBAN","DURBAN NORTH","DURBAN NORTH",www.eliteair.co.za,,,(083)-449-6672,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
admin@finplanning.com,,,(033)-342-2382,,"2018-02-19 13:56:37",127.0.0.1,,FINPLANNING.COM,,,"FINANCIAL SERVICES","FINANCIAL MANAGEMENT SERVICES,INVESTMENTS,PENSION",,(033)-342-2482,"51 - 200",KZN,,PIETERMARITZBURG,PIETERMARITZBURG,www.finplanning.com,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
admin@fintime.co.za,,,(012)-347-0362,,"2018-02-19 13:56:35",127.0.0.1,,"FINTIME CONSULT",,,"PROFESSIONAL SERVICES","RISK ANALYSIS,ASSET PROTECTION,PENSION FUND,GROUP",,,"51 - 200",GT,,PRETORIA,ERASMUSKLOOF,,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
admin@greepowerkzn.co.za,,,(031)-700-5660,,"2018-01-18 09:51:12",0.0.0.0,,"Gree Airconditioners",aircon.za.com,,"EDUCATION & TRAINING","AIR CONDITIONING,HEATERS,AIR CONDITIONING EQPT",,(031)-700-4035,"11 - 50",KZN,"CENTRAL DURBAN",PINETOWN,WESTMEAD,,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
admin@mkcooling.co.za,,,(041)-487-0025,,"2018-01-18 09:51:04",0.0.0.0,,"M K Cooling",aircon.za.com,,"MANUFACTURING & PRODUCTION","AIR CONDITIONING,AIR CONDITIONING EQUIPMENT SYSTEM",,,"51 - 200",EC,"SOUTH EASTERN CAPE","PORT ELIZABETH","NORTH END",,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
admin@thecaves.co.za,,,(044)-272-0335,,"2018-02-19 13:56:39",127.0.0.1,,"CAVES AFTREEOORD",,,"FINANCIAL SERVICES","INVESTMENT CONSULTANTS",,,"51 - 200",WC,,OUDTSHOORN,OUDTSHOORN,,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
aermart@iburst.co.za,,,(011)-609-0337,,"2018-01-18 09:51:07",0.0.0.0,,"Aer-Mart Airconditioning",aircon.za.com,,"GENERAL SERVICES","AIRCONDITIONING,VENTILATION,AIR CONDITIONING EQPT",(086)-111-4805,(011)-609-1655,"11 - 50",GT,"EAST RAND",LETHABONG,EASTLEIGH,www.aermart.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
aetlodge@gmail.com,,,(082)-854-5603,,"2018-03-05 08:05:46",0.0.0.0,,"AFRICAN ELEGANCE TENTED LODGE","safari.za.com, gamereserve.za.com, lodge.za.com",,HOSPITALITY,"SAFARI PARKS,SAFARI LODGES,BIG 5,SAFARI TENTS,TENT",,,"51 - 200",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
afaircon@absamail.co.za,,,(021)-981-2591,,"2018-01-18 09:51:14",0.0.0.0,,"Af Airconditioning Cc",aircon.za.com,,"TRANSPORT & DISTRIBUTION","AIR CONDITIONING,AIRCONDITIONING,CHILLERS,COLD ROOM",,(021)-981-2591,,WC,"EAST CAPE TOWN",BRACKENFELL,BRACKENFELL,,,,(082)-877-9788,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
afgri@afgri.co.za,,,(017)-647-4521,,"2018-02-19 13:56:37",127.0.0.1,,"AFGRI EQUIPMENT",,,"FINANCIAL SERVICES","FARMFOODS,FOODS,ASSET INVESTMENTS,FOODSTORE",,,"51 - 200",MP,,BETHAL,BETHAL,www.afgri.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
africantouches@mweb.co.za,SANDY,BLANCKENBERG,(021)-685-4234,,"2018-01-12 08:40:55",41.114.234.210,,"AFRICAN TOUCHES",gift.za.com,info@africantouches.com,"MANUFACTURING & PRODUCTION","CORPORATE GIFTS MANUFACTURERS",,(021)-685-4234,"51 - 200",WC,"SOUTHERN SUBURBS",RONDEBOSCH,RONDEBOSCH,https://www.africantouches.com/,"OTHER DIRECTORS & PARTNERS",DIRECTOR,(083)-270-2472,,,,,,,,,,,4,0,0,0,0,0,"Gifting Industry,Opened Both Emails"
agape_t@yahoo.co.za,,,(039)-253-1273,,"2018-02-26 13:49:00",0.0.0.0,,"Agape Travel And Corporate Services",,,HOSPITALITY,"BUSES,TRAVELLING,FLIGHT BOOKING,SAFARIS,TRAVEL AGE",,,"51 - 200",EC,"NORTH EASTERN CAPE",LUSIKISIKI,LUSIKISIKI,,,,,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
agfaedenvale@gmail.com,,,(011)-453-2701,,"2018-01-18 13:50:11",66.249.81.2,,"AGFA SUPALAB",http://photographer.za.com/,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",GT,"EAST JOHANNESBURG",LETHABONG,DOWERGLEN,,,,,,,,,,,,,,,6,0,0,0,0,0,Photographer
aileen@go-wild.co.za,,,(011)-462-5012,,"2018-01-10 14:35:44",127.0.0.1,,"GO WILD",,,HOSPITALITY,"TEAM BUILDING,CORPORATE,FUNCTIONS,CATERERS,EVENT ORGANISERS",,(011)-462-9364,11-50,GT,"NORTH JOHANNESBURG",ROODEPOORT,OLIVEDALE,www.go-wild.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
aircon@airetronic.co.za,,,(031)-303-1602,,"2018-01-18 09:51:11",0.0.0.0,,"Eshayamoya Air Conditioning",aircon.za.com,,"TRANSPORT & DISTRIBUTION","AIR CONDITIONING EQUIPMENT SYSTEMS,AIRCONDITIONING",,(031)-303-1961,"11 - 50",KZN,"CENTRAL DURBAN","CENTRAL DURBAN","STAMFORD HILL",,,,,,,,,,,,,,,4,0,0,0,0,0,"Aircon Lead,Not responding to e-mails"
akjnb@abercrombiekent.co.za,,,(011)-438-4500,,"2018-02-26 13:49:00",0.0.0.0,,"Abercrombie & Kent Safaris",,,HOSPITALITY,"TOURS,SAFARIS",,,"11 - 50",GT,"CENTRAL JOHANNESBURG",RANDBURG,RANDBURG,www.abercrombiekent.com,,,,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
alair@mweb.co.za,,,(011)-849-1010,,"2018-01-18 09:51:07",0.0.0.0,,"Alair Airconditioning",aircon.za.com,,"GENERAL SERVICES","COOLING,AIR CON,AIR CONDITIONED,AIR CONDITIONING ",,,"11 - 50",GT,"EAST RAND",BENONI,RYNFIELD,www.alair.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
alanlambrechs@gmail.com,"Alan ","Lambrechs ",0827760806,,"2018-02-22 14:37:35",0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
alastair@bigblue.co.za,ALASTAIR,CRONIN,(011)-021-7640,,"2018-01-12 08:56:25",217.206.91.196,,"BIG BLUE",gift.za.com,,"GENERAL SERVICES","INNOVATIVE/CREATIVE GIFT SUPPIER",,,"51 - 200",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",https://www.bigblue.co.za/contacts,"OTHER DIRECTORS & PARTNERS",DIRECTOR,(082)-641-8250,,,,,,,,,,,2,0,0,0,0,0,"Gifting Industry"
albertphoto@vodamail.co.za,,,,,"2018-01-18 13:50:09",127.0.0.1,,"ALBERT VAN BILJON PHOTOGRAPHY",http://photographer.za.com/,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",FS,"CENTRAL FREE STATE",BLOEMFONTEIN,BLOEMFONTEIN,,,,(082)-335-0353,,,,,,,,,,,0,0,0,0,0,0,Photographer
alcazabalodges2010@gmail.com,,,(011)-492-2093,,"2018-03-05 08:05:42",0.0.0.0,,"ALCAZABA  LODGES","lodge.za.com, selfcatering.za.com",,HOSPITALITY,"HOTELS,HOTELS AND LODGES,OVERNIGHT STAY,LODGES,ACCOMODATION",,,"11 - 50",GT,"CENTRAL JOHANNESBURG",JOHANNESBURG,FORDSBURG,http://www.alcazabalodges.co.za/,,,,,,,,,,,,,,4,0,0,0,0,0,"Not responding to e-mails,Lodge Leads"
alexasafaris@iafrica.com,,,(044)-533-3360,,"2018-02-26 13:49:03",0.0.0.0,,"Alexa Safaris",,,HOSPITALITY,"TOURS, SAFARIS &/OR OPERATORS",,(044)-533-3408,"11 - 50",WC,"GARDEN ROUTE","PLETTENBERG BAY","PLETTENBERG BAY",www.alexasafaris.com,,,,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
alfred@crceng.co.za,Alfred,Johnson,(011)-708-2662,,"2018-01-18 09:51:09",0.0.0.0,,"Crc Engineering (Pty) Ltd",aircon.za.com,,"GENERAL SERVICES","AIRCONDITIONING SERVICES",,,"51 - 200",GT,"NORTH JOHANNESBURG","KYA SAND","KYA SAND",,MD/CEOS,OWNER,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
alistairew@ithealth.co.za,Alistair,,0825870263,,"2018-01-11 12:32:14",41.160.182.148,,"IT Health",,,ITH,ITH,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,0,
alive@nexus.co.za,Morne,,(011)-826-2517,,"2018-01-18 13:50:12",196.210.230.231,,"APERTURE ALIVE PHOTOGRAPHICS",http://photographer.za.com/,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",GT,"EAST RAND",GERMISTON,WITFIELD,AALIVE.WEBS.COM,,,0833407358,,,,,,,,,,,6,0,0,0,0,0,Photographer
allan@falcon-africa.co.za,Allan,Eccles,,,"2018-02-26 13:45:54",0.0.0.0,,"Falcon Africa Safaris Pty Ltd",,,HOSPITALITY,"SAFARIS & TOUR OPERATORS",(011)-886-1981,(011)-886-1778,"11 - 50",GT,"CENTRAL JOHANNESBURG",RANDBURG,RANDBURG,www.falcon-africa.co.za,MD/CEOS,OWNER,,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
allcar@sadomain.co.za,,,(021)-510-6170,,"2018-01-18 09:51:14",0.0.0.0,,"All Car Distributors",aircon.za.com,,AUTOMOTIVE,"AIR CONDITIONING - MOTOR CAR,IMMOBILISERS,AIRCONDION",,(021)-510-6266,"51 - 200",WC,"CAPE TOWN CITY",MAITLAND,MAITLAND,,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
allcool@telkomsa.net,,,(011)-892-0168,,"2018-01-18 09:51:07",0.0.0.0,,"Ca Air Conditioners Cc",aircon.za.com,,"TRANSPORT & DISTRIBUTION","AIR CONDITIONING EQUIPMENT SYSTEMS,AIRCONDITIONING",,,"11 - 50",GT,"EAST RAND",BOKSBURG,BOKSBURG,,,,(082)-758-1810,,,,,,,,,,,4,0,0,0,0,0,"Aircon Lead,Not responding to e-mails"
allfruits@telkomsa.net,,,(043)-735-3617,,"2018-02-06 10:36:30",0.0.0.0,,"ALL FRUITS AND FLOWERS",florist.za.com,,RETAIL,"FLOWER SHOPS,FLOWERS - CUT - WHSALE,FLORIST,FLOWER",,,"11 - 50",EC,"NORTH EASTERN CAPE","EAST LONDON",NAHOON,,,,(082)-784-4987,,,,,,,,,,,0,0,0,0,0,0,Florist
allhire.catering@gmail.com,,,(012)-804-4147,,"2018-01-10 11:34:07",127.0.0.1,,"ALL HIRE CATERING EQUIPMENT CC",,,"GENERAL SERVICES","CATERERS,CUTLERY,HIRING SERVICES,CATERING,TABLES",(012)-804-4147,(012)-804-4406,,GT,"EAST PRETORIA",SILVERTON,SILVERTON,,,,(083)-469-3889,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
alwaysair@yebo.co.za,Noel,"Van Der Miller",(011)-814-5255,,"2018-01-18 09:51:06",0.0.0.0,,"Always Air Cc",aircon.za.com,,"GENERAL SERVICES","AIRCONDITIONING CONTRACTORS",,,"51 - 200",GT,"EAST RAND",NIGEL,NIGEL,,"OTHER DIRECTORS & PARTNERS",DIRECTOR,(082)-374-6681,,,,,,,,,,,4,0,0,0,0,0,"Aircon Lead,Not responding to e-mails"
alwaysfreshflowers@polka.co.za,Veronica,Poipao,(012)-653-3907,,"2018-02-06 10:36:35",185.30.176.26,,"ALWAYS FRESH FLOWERS",florist.za.com,,HOSPITALITY,"FLORISTS AND FLOWERS,FLOWERS - CUT - WHSALE",,,"11 - 50",GT,"SOUTH PRETORIA",CENTURION,HENNOPSPARK,http://www.always-freshflowers.co.za/,,,"0832601372 ",,,,,,,,,,,2,0,0,0,0,0,Florist
amandlamoya@telkomsa.net,,,(033)-342-5659,,"2018-01-18 09:51:13",0.0.0.0,,"Amandla Moya Airconditioning Cc",aircon.za.com,,"GENERAL SERVICES","AIR CONDITIONING EQPT AND SYSTEMS,AIR CONDITIONING",,(033)-342-5647,"51 - 200",KZN,"SOUTHERN KWA-ZULU NATAL",PIETERMARITZBURG,PIETERMARITZBURG,www.amandlamoya.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
amarulaguesthouse@yahoo.com,,,(013)-697-3704,,"2018-03-05 08:05:51",0.0.0.0,,"A MARULA TREE GUEST HOUSE AND CONFERENCE CENTRE","guesthouse.za.com, conference.za.com",,HOSPITALITY,"ACCOMMODATION,FUNCTIONS,HIRE,THREE STARS,LODGES",,,"11 - 50",MP,MPUMALANGA,WITBANK,LERAATSFONTEIN,www.amarulaguesthouse.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
amarulalapa@iafrica.com,,,(015)-781-7766,,"2018-02-26 13:49:02",0.0.0.0,,"Amarula Lapa",,,HOSPITALITY,"TOURIST CENTERS,INFORMATION SERVICES,TOURS,VENUES,",,,"11 - 50",LM,LIMPOPO,PHALABORWA,PHALABORWA,,,,,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
amatolhk@daff.gov.za,,,(043)-604-5448,,"2018-02-26 13:49:00",0.0.0.0,,"Amatola Hiking Trails",,,HOSPITALITY,"TOURS, SAFARIS &/OR OPERATORS",,,"11 - 50",EC,"NORTH EASTERN CAPE",BISHO,BISHO,,,,(084)-308-6890,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
